QUAINTLY,LOASACAREFULHOUSEWIF,BIAAN VLPUZ UTUHF QUQIN 
CHINLESS,TWOLOVESIHAVEOFCOMFO,VDWYZ ZWKKO IIPSX UQTNB 
PLUNDERS,THOSELIPSTHATLOVESOW,ISIFH PZHHE BNWPF NTDIJ 
HOPELESS,POORSOULTHECENTREOFM,WCDVD SMDAV TGPRL JLCUQ 
UPDATING,MYLOVEISASAFEVERLONG,GNOOO MVYUH DFXDR XFDQG 
REJOINED,OMEWHATEYESHATHLOVEP,FQNKP NXHPI BVIGL OFZND 
LOBBYIST,CANSTTHOUOCRUELSAYIL,NOOTR BZHFC DSSMD LLMJM 
MOROSELY,OFROMWHATPOWERHASTTH,ATICE ASYFD FKWVS YEHKV 
DIAGONAL,LOVEISTOOYOUNGTOKNOW,OWVKW FTZRG OABTT ZNVOC 
ARRIVALS,INLOVINGTHEETHOUKNOW,IECWQ IYYTY VMOHZ MKEFE 
INSTANTS,CUPIDLAIDBYHISBRANDA,KHHBD YTALO QAIFU JIAVT 
OFFENCES,THELITTLELOVEGODLYIN,HMJPV VXDSQ TZRIS VZDNR 
DUMPLING,FROMFAIRESTCREATURES,ILABQ IVXHM FRCMN ZXLQH 
PEACHIER,WHENFORTYWINTERSSHAL,LLEPM WVKNA IPAMV JHLAN 
INQUIRER,LOOKINTHYGLASSANDTEL,TBEEQ EXYGT BUAJE ELGUF 
PASSABLE,UNTHRIFTYLOVELINESSW,JNLZR JQXNL GNEMT RTSKO 
REPOSING,THOSEHOURSTHATWITHGE,KLDGW PBAIW IVSBJ OKLVS 
THALAMUS,THENLETNOTWINTERSRAG,MOEYL QNFHA WTNFY JLYAR 
ASSISTED,LOINTHEORIENTWHENTHE,LGAVL AIRRA WVLPL HNLZM 
CASANOVA,MUSICTOHEARWHYHEARST,OUKIP HJHGA JWUMC ECRKT 
GLORIOUS,ISITFORFEARTOWETAWID,ODWKN CLXKL FKWKY LGHWU 
QUIETEST,FORSHAMEDENYTHATTHOU,VIZWA EEXTY VCMLS MJBWY 
SHAKIEST,ASFASTASTHOUSHALTWAN,SZFKA XSLLO OEALS ELDAX 
REFRACTS,WHENIDOCOUNTTHECLOCK,NLJEI FHUFY SKTJX UCSHB 
SLUMMING,OTHATYOUWEREYOURSELF,GEBMF GBAOP LQKWH XKPFR 
ANYWHERE,NOTFROMTHESTARSDOIMY,NBRBY SDXHR QPHVJ HOVKU 
FINALISE,WHENICONSIDEREVERYTH,BPRNT KGRXQ QECMN IWGGH 
BARITONE,BUTWHEREFOREDONOTYOU,CUKEA SEIGO IMWCA SUYFC 
REAFFIRM,WHOWILLBELIEVEMYVERS,NLOBN TCNVP IJAMD KMIRX 
POLARISE,SHALLICOMPARETHEETOA,HVLLC QUSBD LRVBZ ITHZA 
CALLABLE,DEVOURINGTIMEBLUNTTH,FEGZU STRIT TXECW YPTES 
REMOTELY,AWOMANSFACEWITHNATUR,RAAAT RDDRG QKBXS LRXGF 
ARCHAISM,SOISITNOTWITHMEASWIT,SFKZI BFATN KAHUW MSNKA 
TACITURN,MYGLASSSHALLNOTPERSU,FYITT MJFAA NTGIK CXRUC 
COSSACKS,ASANUNPERFECTACTORON,CGSFU PZWTT WUTCM LQFGF 
SMASHING,MINEEYEHATHPLAYDTHEP,EUNWL GRNSF HHSIL JLTEH 
AMPHIBIA,LETTHOSEWHOAREINFAVO,LQIAP PAEWT DHZFQ NFMKV 
DESPISAL,LORDOFMYLOVETOWHOMIN,OSJSW XMJOS NTBGW SRQAC 
BALLASTS,WEARYWITHTOILIHASTEM,XELCY OBLIT ZTLAA STTPX 
ENORMOUS,HOWCANITHENRETURNINH,LBKTM BCLLR BIQHO JRVBY 
ANATOMIC,WHENINDISGRACEWITHFO,WUEGW ZLKST RTQQE KTUFH 
ASPIRINS,WHENTOTHESESSIONSOFS,WZTVK WGZEK TAJQB FSGUA 
MOURNING,THYBOSOMISENDEAREDWI,FVSSB ABSUG YEQMN XQRQZ 
HOLLERED,IFTHOUSURVIVEMYWELLC,PTESS LWXYJ TGIDC ZLZWN 
RECITALS,FULLMANYAGLORIOUSMOR,WYNTF AYQRK NWKIZ MJQQZ 
DISABLES,WHYDIDSTTHOUPROMISES,ZPQDJ OWLWP GUQCS ELAWS 
ENDURING,NOMOREBEGRIEVEDATTHA,RBPII MOKKE LYMMQ GXGKU 
EXIGENCY,LETMECONFESSTHATWETW,PBBSI PQLJB AYXUC RABBC 
CLUBROOM,ASADECREPITFATHERTAK,CDUEV QFQRT NGRHV QTEUL 
EXPOUNDS,HOWCANMYMUSEWANTSUBJ,LLLQU APQQR HSQNQ LWRQX 
TRAINEES,OHOWTHYWORTHWITHMANN,HYOEG LCOHI TPJMX ZFRNV 
HARDWARE,TAKEALLMYLOVESMYLOVE,AABHW LCQFL FYASD CSOMH 
HANGINGS,THOSEPETTYWRONGSTHAT,AHBYM CKLAY JXWAM KAHNZ 
VITIATES,THATTHOUHASTHERITISN,OPTBT ASMCI LBHXV AOQLV 
APPALLED,WHENMOSTIWINKTHENDOM,WWTNX ZWWIL XNVEL HNSDM 
CHAPLAIN,IFTHEDULLSUBSTANCEOF,KMTWP DCYNZ UQDTI AELOU 
TOPHEAVY,THEOTHERTWOSLIGHTAIR,MVTVX HZPMK DZPIB FMOXY 
PUNCTATE,MINEEYEANDHEARTAREAT,BCAGX YXECX UGTRM EGYNV 
SEMITICS,BETWIXTMINEEYEANDHEA,TIFEB FVEAR QMRMC FVLQI 
ALMANACS,HOWCAREFULWASIWHENIT,HZICN RGXUW IAFIY ZEYUT 
HAWAIIAN,AGAINSTTHATTIMEIFEVE,HGWIV ATGOA PTQUE VMERE 
EMINENCE,HOWHEAVYDOIJOURNEYON,LAEUI NXCHA QWSHT RIKWA 
MATURELY,THUSCANMYLOVEEXCUSET,FHNMT EYKKL HPVII AGSXN 
CYCLEWAY,SOAMIASTHERICHWHOSEB,UMCXM WSRJC TTGDW FQQGM 
LOITERER,WHATISYOURSUBSTANCEW,HVIMM JCFFF ANFJX RYQMP 
DINGDONG,OHOWMUCHMOREDOTHBEAU,RPBCP IPNPW EKGCG NEMNA 
MONARCHY,NOTMARBLENORTHEGILDE,ZCGMR TIJQB BRKJL EUZQE 
ADVISORY,SWEETLOVERENEWTHYFOR,SZZML ZFTEU ZVWKK FYIJZ 
DUODENAL,BEINGYOURSLAVEWHATSH,EYWQK LOFUM ZDZRW SDNGK 
EMBODIES,THATGODFORBIDTHATMAD,XTBHJ WHXSD CWGBL SXYBR 
NEWSROOM,IFTHEREBENOTHINGNEWB,VJPZV FSNRR KLYWB SAIST 
SCATHING,LIKEASTHEWAVESMAKETO,DKKXH AGNWY AOLAZ GCGTH 
MUSCLING,ISITTHYWILLTHYIMAGES,UMAVE PLCUF DVSGV SMAWU 
NOTICING,SINOFSELFLOVEPOSSESS,FWGWH ARRSZ HDGXB YFSLA 
ARRANGED,AGAINSTMYLOVESHALLBE,AXRIA YXPYC FVRYL DLCSE 
CROSSING,WHENIHAVESEENBYTIMES,YYSFA PNBGJ SWFJL ZKDSK 
PUSHABLE,SINCEBRASSNORSTONENO,HCFJE CCEHM FVRTE SCYFV 
MAPPABLE,TIREDWITHALLTHESEFOR,FIGTD XTXTA AATIP WQFDG 
SLACKENS,AHWHEREFOREWITHINFEC,SSWJO VRXGC EYSXU AFQEE 
ABORTION,THUSISHISCHEEKTHEMAP,TIIJB AVVSD VVXSH UENOG 
EVOLVING,THOSEPARTSOFTHEETHAT,XCCDZ XNXXN CQOPR KXCOE 
DEPLETED,THATTHOUARTBLAMEDSHA,WLPEX ASXDV IMPTQ HGWWL 
INSANELY,NOLONGERMOURNFORMEWH,VBDOA KPPUB MRAJZ PUROH 
DEMURELY,OLESTTHEWORLDSHOULDT,RPQMK XSCZS DFUWS MXPPN 
KNEADING,THATTIMEOFYEARTHOUMA,DUETW QZKYS CEDZG NYHQA 
CHOPPIER,BUTBECONTENTEDWHENTH,DBHQT KSEVL BITLA YGUHW 
AVERAGED,SOAREYOUTOMYTHOUGHTS,SJEIE ESXTJ QPTNS XGCXJ 
VULGARLY,WHYISMYVERSESOBARREN,RBJOS DJTZL DKSFM YMLPT 
SPINSTER,THYGLASSWILLSHOWTHEE,LWGTD TWJOX TYKAS NLWMR 
AIRTIGHT,SOOFTHAVEIINVOKEDTHE,SWFYB NHOEQ ZGDUR XDBYX 
HEADSETS,WHILSTIALONEDIDCALLU,DLIOK XBSSS NHVMW UHPLX 
FERMENTS,OHOWIFAINTWHENIOFYOU,TLFIM STASX NTIAB GKCFG 
SUBVERTS,ORISHALLLIVEYOUREPIT,GLJNL REDDC WZCFN JWJJO 
DEFLOWER,IGRANTTHOUWERTNOTMAR,LKWLB PXYRY BPFPR FWQFC 
GOATSKIN,INEVERSAWTHATYOUDIDP,OBEOW BANCH HTLIW HJWDI 
COLESLAW,WHOISITTHATSAYSMOSTW,YVZMK TTPJO EWSJS IQGEA 
CONSORTS,MYTONGUETIEDMUSEINMA,OMGGB XNWVW RVALL WKBZS 
FOREHAND,WASITTHEPROUDFULLSAI,BOJMA TUHUF FYKFH OQGRM 
ANIMISTS,FAREWELLTHOUARTTOODE,FNZQE WEDTU WGIJM LOBLQ 
ALIGNING,WHENTHOUSHALTBEDISPO,WSMTG PBASS IRGJR JIDXU 
UPRIGHTS,SAYTHATTHOUDIDSTFORS,MPPBN HMLBD LLOKL LZDIA 
INSPIRED,THENHATEMEWHENTHOUWI,BUWCP RXHUR OWMEX KWHOX 
MAJOLICA,SOMEGLORYINTHEIRBIRT,EOVSR TQRKI WHSMK RNIAH 
SCRIBING,BUTDOTHYWORSTTOSTEAL,TWKLP BUEOQ IAUBB YLGRT 
YEARLING,SOSHALLILIVESUPPOSIN,QSSYL TYOJM VVDCC VMWIE 
BEGOTTEN,THEYTHATHAVEPOWERTOH,ULKMM AEGIE BSIHA RSXUV 
SLIPPING,HOWSWEETANDLOVELYDOS,ZZEHL MRZSY LADDR RQOWH 
YEARLONG,SOMESAYTHYFAULTISYOU,QSMVD OLZFC FRFZG OQCOL 
REACTION,HOWLIKEAWINTERHATHMY,YSWNB SSNNM NVXZV NKLMA 
SAWMILLS,FROMYOUHAVEIBEENABSE,XRKYG ZFZSV AUJPP FSBOQ 
ABSTAINS,THEFORWARDVIOLETTHUS,TIWYO ZJSRE NBOTR LTIML 
SUBSONIC,WHEREARTTHOUMUSETHAT,OBFJS NZVLB PMAHA GLBBL 
MANDATES,OTRUANTMUSEWHATSHALL,ATEXA GXEGS RZHTX KTAYO 
REPAIRER,MYLOVEISSTRENGTHENDT,DCAOD VMJJX GEVXX YVRST 
MISJUDGE,ALACKWHATPOVERTYMYMU,MTSLE ZNEFX GEYUZ CYGED 
IMAGINES,TOMEFAIRFRIENDYOUNEV,BAMKN NMJND IKVQC GCZEB 
COMPACTS,LETNOTMYLOVEBECALLDI,NSFCO VFQNC HTBGV SNZPX 
RECOVERY,WHENINTHECHRONICLEOF,NLGBD RKFVG JFJRZ ACIQT 
LANDLADY,WHENINTHECHRONICLEOF,HHRQT NWFPC UUZNL AWEBI 
WHETTING,NOTMINEOWNFEARSNORTH,JVXFB VRUSU JXTZF TKYXA 
SWINGERS,WHATSINTHEBRAINTHATI,ODIGY MELZA JEGME LZWBV 
COLUMNAR,ONEVERSAYTHATIWASFAL,QBPPQ ESRAH SUFVW RUTLF 
DWARFING,ALASTISTRUEIHAVEGONE,DHAJY QFZUQ EZMII KJKNV 
SEIZURES,OFORMYSAKEDOYOUWITHF,GJWQG PWSCI LNSFY OAXPE 
COMPOSER,YOURLOVEANDPITYDOTHT,ACGGZ GZVCB PEWLC UQHTI 
MEASURED,SINCEILEFTYOUMINEEYE,EMNUY ZPHRX YGODM QQIYW 
WHISTLES,ORWHETHERDOTHMYMINDB,KYEZX ELWNK WLAXC EEULT 
THRILLER,THOSELINESTHATIBEFOR,MOFAP WMEXZ KPLEM SXMFZ 
MONETARY,LETMENOTTOTHEMARRIAG,XSGQX NFRFC GLXMR PDWNK 
DISJUNCT,ACCUSEMETHUSTHATIHAV,DKUDM ROXWP MBNUC MLPSE 
SLUMPING,LIKEASTOMAKEOURAPPET,DTEQP AGUEL EQDCE GHAYF 
DETAINEE,WHATPOTIONSHAVEIDRUN,ZLTTX BXMRR LHIII MGVNN 
REACHING,THATYOUWEREONCEUNKIN,KLAVF WHCVV EQUKR AEOIP 
DIVIDING,TISBETTERTOBEVILETHA,WQNJH BGKUB JJHDV RHBCI 
TRESTLES,THYGIFTTHYTABLESAREW,MYCYB QXLAP XSUWI KTIIO 
CRACKPOT,NOTIMETHOUSHALTNOTBO,PFTKW THAQL SJKAH GQKBQ 
FROSTILY,IFMYDEARLOVEWEREBUTT,NWAQW MLPQF JWPMC CGLHL 
CRUMPLED,WERETAUGHTTOMEIBORET,YVLQI LYJJK NABPM EQIYF 
TYPHOONS,OTHOUMYLOVELYBOYWHOI,HRWVI ALDHT TSMPB QPFDP 
MISUSING,INTHEOLDAGEBLACKWASN,UVLBW WYJMO WVDIP QIIKH 
MISSIONS,HOWOFTWHENTHOUMYMUSI,TWOGN HJZQV LZWIZ QYCKA 
ASSIGNED,THEEXPENSEOFSPIRITIN,TZWMD CIQSW GNYCM UILAV 
DECEIVED,MYMISTRESSEYESARENOT,PCOMA OVHVW GCMNE UHRQX 
PHEASANT,THOUARTASTYRANNOUSSO,IOSUS RGTHA CRSNA HJZWO 
BULLOCKS,THINEEYESILOVEANDTHE,UBTYS GIWTC WZJGK FENSP 
PARTAKEN,BESHREWTHATHEARTTHAT,QEJAR OAGWA KAEKV GIHRM 
CULDESAC,SONOWIHAVECONFESSDTH,UIYRA AHCXY NRRXE UUXEK 
HIGHJACK,WHOEVERHATHHERWISHTH,DPULE ETRHB NONRY SZPZO 
AMETHYST,IFTHYSOULCHEQUETHEET,IRXAF QGNLO LXXSW MHQIM 
PALMTOPS,THOUBLINDFOOLLOVEWHA,IHZGU ZXFSF ZAEZD NTWSM 
LONGHAND,WHENMYLOVESWEARSTHAT,HVRTT YYRGS FCLAE VEVNZ 
DAUPHINS,OCALLNOTMETOJUSTIFYT,RCUAS VBLPE NDQCF LLFSI 
SERIALLY,BEWISEASTHOUARTCRUEL,TINQS PLQLL FCACE AJYVT 
FLAREUPS,INFAITHIDONOTLOVETHE,NYFRM NWAIZ NFXFD NJEHV 
UTENSILS,LOVEISMYSINANDTHYDEA,FHZRA AXQMB RNFLE ZSWIN 
ADJOINED,LOASACAREFULHOUSEWIF,LRJGI PEUEI DZPBY VEZRT 
HIERATIC,TWOLOVESIHAVEOFCOMFO,AESCO OMUPP EMEHN EVUJF 
MONTAGES,THOSELIPSTHATLOVESOW,FVBLE RMHEH UTTRS NQGBP 
COPYABLE,POORSOULTHECENTREOFM,RCDPS PFPVV TAEOE VGCUK 
LUNCHEON,MYLOVEISASAFEVERLONG,XSYQC IWFLM NHLZS EWIAI 
FUNNIEST,OMEWHATEYESHATHLOVEP,TGRJP ELXDY FUIXZ ETPRC 
RAVAGING,CANSTTHOUOCRUELSAYIL,TAISZ BUULO XRAMY YRYDL 
MATINEES,OFROMWHATPOWERHASTTH,AFKWZ ALSFP HERVL SETMP 
RESTYLED,LOVEISTOOYOUNGTOKNOW,CSNXG DXRFC GNLRX RBRGP 
MINUTELY,INLOVINGTHEETHOUKNOW,UVYIO MYEFP RYMLZ SWVBQ 
REBURIED,CUPIDLAIDBYHISBRANDA,TYQCU TELUF ZBZAF URREU 
ERASURES,THELITTLELOVEGODLYIN,XYEDC KXDIC ONYXS VPPIF 
LEISURED,FROMFAIRESTCREATURES,QVWEZ RMUPW BULVE WFVMK 
UNTRUSTY,WHENFORTYWINTERSSHAL,QUXEZ GKRSJ BENWK QMUTC 
TOILETRY,LOOKINTHYGLASSANDTEL,ECWVM GKFRU TLWLR LWHMW 
REMAINED,UNTHRIFTYLOVELINESSW,LRFHZ VJWPP AVMYM QVWEW 
SCAVENGE,THOSEHOURSTHATWITHGE,LJONI UUYJU TCEGC MLJGZ 
SHORTISH,THENLETNOTWINTERSRAG,LOSEE MLUGA KZGBW YKYOX 
POCKETED,LOINTHEORIENTWHENTHE,ACKXX AIRGW GXXPL HCHJO 
GRAPPLES,MUSICTOHEARWHYHEARST,SLSXR ESZKR RLWJL WGISI 
RELISHES,ISITFORFEARTOWETAWID,ZWTBX VVXVE CBGDI LRATL 
NOISIEST,FORSHAMEDENYTHATTHOU,SCZKP EEXQS VQBLS MGVWM 
REASSURE,ASFASTASTHOUSHALTWAN,RWFSK NRWKL OMKBR PKAAF 
EMPTYING,WHENIDOCOUNTTHECLOCK,ATTGG LBISG CMRPR IPARD 
PACIFIED,OTHATYOUWEREYOURSELF,DTJIY GSXLE TMDWY UHENN 
PERVADED,NOTFROMTHESTARSDOIMY,CSKAR RQWWI JOAUW GDMDT 
HILLOCKS,WHENICONSIDEREVERYTH,DPPYW EYFZQ OPFGF WYGES 
COMPOUND,BUTWHEREFOREDONOTYOU,DIFLV YEHHC DTRIA RVMAJ 
CREEPING,WHOWILLBELIEVEMYVERS,YYSAX TYHGC MIKMZ EXVVW 
CLASSICS,SHALLICOMPARETHEETOA,USADD QEGOA AJWBJ WGEOS 
IMPOTENT,DEVOURINGTIMEBLUNTTH,LQKCN VVGOF XAXFY NVFIV 
ELECTRIC,AWOMANSFACEWITHNATUR,EHSOT EAHEN IYBKP PEEYT 
ABORTING,SOISITNOTWITHMEASWIT,SPWJB BAUTX WKAUR GSXWK 
IMPACTED,MYGLASSSHALLNOTPERSU,UKVLC LWVPM ALPHX SMDHU 
UNSEATED,ASANUNPERFECTACTORON,UFSRU GTHLS WGTTG WIEGR 
FIFTIETH,MINEEYEHATHPLAYDTHEP,RQSXM CXOFB MITER KYPJI 
STEALTHY,LETTHOSEWHOAREINFAVO,DXXTS HZCOA SACXP LXTZO 
EXPLODED,LORDOFMYLOVETOWHOMIN,PLGOC IQBPL KPHRA KSJXY 
OVERFLOW,WEARYWITHTOILIHASTEM,KZEID HWPVO SZQTV WGOID 
BOTSWANA,HOWCANITHENRETURNINH,ICPUW NVTIS GJATH ROWGZ 
UNSOUGHT,WHENINDISGRACEWITHFO,QUWBC TKBMT JOWKD BNUXC 
SWIFTLET,WHENTOTHESESSIONSOFS,ODMSM ZXAWO MXLTS GKKNX 
CONTOURS,THYBOSOMISENDEAREDWI,VVLUC MFEKG RGRYR JGRJB 
ARIDNESS,IFTHOUSURVIVEMYWELLC,IWBKB YKMRM QYRQQ OECTF 
MOONBEAM,FULLMANYAGLORIOUSMOR,RIZYN ENKMU ZBSMO GEACE 
BOOKMARK,WHYDIDSTTHOUPROMISES,XVMNU DJDUV CEBRF WJGSC 
COCKPITS,NOMOREBEGRIEVEDATTHA,PCOYG MUWIF KOKMW SVHJK 
SISTERLY,LETMECONFESSTHATWETW,DMLFI TZLXM KLXYL ROMLP 
CRANKING,ASADECREPITFATHERTAK,CJAQO KEKRZ TSKBU KTKAX 
CASSOCKS,HOWCANMYMUSEWANTSUBJ,JOOUO PWQOU KWKCX LUUTB 
GASLIGHT,OHOWTHYWORTHWITHMANN,UHGHB NFPUR LSEOA ASAFY 
AIRPLANE,TAKEALLMYLOVESMYLOVE,TIBTL LYQYT FKPSZ CLWMT 
FLOUTING,THOSEPETTYWRONGSTHAT,YSCMX XRZYJ KLHVT YYSON 
QUESTION,THATTHOUHASTHERITISN,JBELM PCHXU WLAMF VJCWF 
CRIBBAGE,WHENMOSTIWINKTHENDOM,YYMON OYXKN QOLTN IPUWN 
STRAGGLE,IFTHEDULLSUBSTANCEOF,AYKHK JFPDL LBYZL RUXFF 
DIAGNOSE,THEOTHERTWOSLIGHTAIR,WPEUG VWVWE OYYWY LWIIX 
MUDGUARD,MINEEYEANDHEARTAREAT,YCQKY YVDZX KKURK DDYDZ 
HALFHOUR,BETWIXTMINEEYEANDHEA,IEEBP LNDPN PJFSU EKHPF 
PALEFACE,HOWCAREFULWASIWHENIT,WOHGF RGJJL HEXIY LTNTX 
PARODIST,AGAINSTTHATTIMEIFEVE,PGRWQ ALMWA KHLUW BUEMS 
LIFELIKE,HOWHEAVYDOIJOURNEYON,SWBLP IFCOW NNZCB RPGTR 
QUENCHED,THUSCANMYLOVEEXCUSET,JBYFE HRPOF SIGLB FKMIG 
MISSTEPS,SOAMIASTHERICHWHOSEB,EWSEB EHLTM JAVLL ZAAWT 
WRINGING,WHATISYOURSUBSTANCEW,SYIGO ALUQI AHHAG GJTMJ 
PROCURED,OHOWMUCHMOREDOTHBEAU,DYCYG LGKBF FGXFX KQVOW 
GLACIERS,NOTMARBLENORTHEGILDE,TZTOI VSDKY OTBLV YOWDG 
ALIENATE,SWEETLOVERENEWTHYFOR,SHMIG LHZEC MRRWM LYQWV 
REWORKED,BEINGYOURSLAVEWHATSH,SIEBX ISXIW HOMOA KRXOV 
BOOKCASE,THATGODFORBIDTHATMAD,UVODI OVJPF PSFTZ EUAON 
SERAPHIC,IFTHEREBENOTHINGNEWB,AJKHT YMDWR FTWPV IFINB 
REPROVED,LIKEASTHEWAVESMAKETO,CMZVO NXKVA PMSNQ DBIIF 
PAINLESS,ISITTHYWILLTHYIMAGES,XSQGE LQOXL TGSCA EPGMF 
BOARDING,SINOFSELFLOVEPOSSESS,TWNFI ARRGZ OMHXB YTSSJ 
PLOTTING,AGAINSTMYLOVESHALLBE,PROBG AGSNW COXAU GAWPX 
RETAINED,WHENIHAVESEENBYTIMES,NLXNQ UEYVW XEVOC WZQXS 
ENTRAILS,SINCEBRASSNORSTONENO,WVGTE JCSWF GFRAE GRRGF 
CAROTENE,TIREDWITHALLTHESEFOR,VIISW AVXJA CZMLR WGFFF 
STINGRAY,AHWHEREFOREWITHINFEC,SAEUK IEDGK MJOKH GFYMP 
BRAWLING,THUSISHISCHEEKTHEMAP,UYUOT AUOTT HAPSG NFDAL 
AMBUSHES,THOSEPARTSOFTHEETHAT,TTPMW WEJTE PZLOI WTTBN 
MULCHING,THATTHOUARTBLAMEDSHA,FBLVA PBAML EDSIZ KPMSC 
APPRAISE,NOLONGERMOURNFORMEWH,NDAFN OWVMD JINNG VMTLY 
SELFMADE,OLESTTHEWORLDSHOULDT,GPPXF TKIOS CQPSK SMPOY 
ILLUSORY,THATTIMEOFYEARTHOUMA,BSLNL WDCWQ JYSFK FWFXU 
MAILSHOT,BUTBECONTENTEDWHENTH,NUBMW JCGFE VEWKK AQNBS 
SHELTERS,SOAREYOUTOMYTHOUGHTS,KVECX CFMLV QJMLF MYOXD 
DEVOLVED,WHYISMYVERSESOBARREN,ZLTWD HCYHV NSDJF DUVZB 
DROPOUTS,THYGLASSWILLSHOWTHEE,WYMVZ ULKZZ ZAGBH OWYST 
EGGSHELL,SOOFTHAVEIINVOKEDTHE,WUUXA LLGIO OFCSV PHZNW 
UNABATED,WHILSTIALONEDIDCALLU,QUIMS MMDFB NFDBH FUYLV 
ENERGISE,OHOWIFAINTWHENIOFYOU,SUSNO NSMRG AYKVA SJLSL 
COVERLET,ORISHALLLIVEYOUREPIT,QFDWY LPENW QIPZY KGDDX 
HAMPERED,IGRANTTHOUWERTNOTMAR,PGDPR KXKVU ITVKR RAMMG 
SMUGGLED,INEVERSAWTHATYOUDIDP,AZYBK CWDOF BGZJS XVUXV 
PELICANS,WHOISITTHATSAYSMOSTW,LLZQU IGLWE EACYF EDWEE 
ONLOOKER,MYTONGUETIEDMUSEINMA,ALECB QYVHV PRAEW VWAXO 
IDIOCIES,WASITTHEPROUDFULLSAI,EDAWV BLWXU WIFNY DTVIW 
UPSTAIRS,FAREWELLTHOUARTTOODE,ZPJXW MCDNW GNAZK LIDVX 
INVERSES,WHENTHOUSHALTBEDISPO,EUZRK ZSMAU VPKTI VQFKS 
ENTAILED,SAYTHATTHOUDIDSTFORS,WNRTP LXWLB NDQOW WJBKS 
SULLENLY,THENHATEMEWHENTHOUWI,LBPYL NECEY HSIAE FGOHT 
KITCHENS,SOMEGLORYINTHEIRBIRT,CWFGN PBJIQ GVOIV JLQKV 
MOTHERED,BUTDOTHYWORSTTOSTEAL,NIMKS KLBIC KZXKS VFSTS 
SUPERMEN,SOSHALLILIVESUPPOSIN,KIHLR XPVDC KIJGT CGMXR 
CHOPPING,THEYTHATHAVEPOWERTOH,VOSNI PNZJH JTEWJ KTACW 
TRIMARAN,HOWSWEETANDLOVELYDOS,AFEEW VEGTE LXOME YRUWE 
SHODDIER,SOMESAYTHYFAULTISYOU,KVAHV ICKZF TDXTX ZKFCX 
REPAIRED,HOWLIKEAWINTERHATHMY,YSLLQ BIDNM CTMIL DKLBY 
SCOTFREE,FROMYOUHAVEIBEENABSE,XTCFD FYLSX SBGVI RSDGX 
UNROLLED,THEFORWARDVIOLETTHUS,NUVTZ CADLQ MWZWI WNULG 
JEWSHARP,WHEREARTTHOUMUSETHAT,FLAJL AIICL KMTUJ TCLWL 
PRONOUNS,OTRUANTMUSEWHATSHALL,DKFHO HGEJJ SJVUG KWRZY 
REBUTTAL,MYLOVEISSTRENGTHENDT,DCMIO XIDJX SYGZT SVREN 
REPEALED,ALACKWHATPOVERTYMYMU,RPPGK HLDKT DZECX BDCBY 
WHIPLASH,TOMEFAIRFRIENDYOUNEV,PVUTQ AAYBY QTYDQ VQUMK 
INTERACT,LETNOTMYLOVEBECALLDI,TRMRF TORTB OISEE TTYWM 
EMBRACED,WHENINTHECHRONICLEOF,ATFEI PXKIO IIOPM FPQPW 
CLEVERLY,WHENINTHECHRONICLEOF,YSIIM EEFGN LMSET ANPSA 
POLYGYNY,NOTMINEOWNFEARSNORTH,CCEKO LRMLB QCGPF LDFEF 
PHANTOMS,WHATSINTHEBRAINTHATI,LOAGL WZLWL BETWZ LWHTV 
CRACKERS,ONEVERSAYTHATIWASFAL,QEEXO VJSAK HCDMN SUWAN 
DACTYLIC,ALASTISTRUEIHAVEGONE,DLCLR TAVUU GBFLD GJOPX 
VISITANT,OFORMYSAKEDOYOUWITHF,JNGZF YFTFM VWROH PDBZN 
TAVERNAS,YOURLOVEANDPITYDOTHT,ROPVC BVWTN YTZGY VHTCX 
HEARTIES,SINCEILEFTYOUMINEEYE,ZMNTX QPWMX YFNUM FLIYV 
TWIRLING,ORWHETHERDOTHMYMINDB,HNEYP BUKKZ WKSUL SBJLS 
RAVISHER,THOSELINESTHATIBEFOR,KHJAW SMEVS OPSAM SVFJZ 
RULEBOOK,LETMENOTTOTHEMARRIAG,CYEQF BCDKI ELFAO BICLK 
BASENESS,ACCUSEMETHUSTHATIHAV,BCUYF IEWUH MWGLS LJHSZ 
PROVOKED,LIKEASTOMAKEOURAPPET,AZYZO CXRBR YZCEV DEGSO 
DICTATED,WHATPOTIONSHAVEIDRUN,ZPCMP HXLRV UAAOI LGZWG 
THATCHER,THATYOUWEREONCEUNKIN,MOAMA VYNXY EHPJI LGRIG 
UNBIASED,TISBETTERTOBEVILETHA,NVTJE LXHLG PJENM OYGII 
MUDLARKS,THYGIFTTHYTABLESAREW,FBBRI WDLTS WLBCO KMLHH 
BANDAGES,NOTIMETHOUSHALTNOTBO,OOGLM KXZPU FKARX FPTOR 
ASSIGNER,IFMYDEARLOVEWEREBUTT,IXEGJ REILG NMCRV VBMLB 
FAMILIAL,WERETAUGHTTOMEIBORET,BEDME IURMT FWXMI MTRQB 
NETWORKS,OTHOUMYLOVELYBOYWHOI,BXAKI DIDBZ XHMSY QJLHE 
OVERSEES,INTHEOLDAGEBLACKWASN,WIXYW SPVOB ISDEG CKVWE 
ARSENALS,HOWOFTWHENTHOUMYMUSI,HFOSS THZEE LLBUX QMLKM 
LINEFEED,THEEXPENSEOFSPIRITIN,EPRIC TIQDM BJXTM UTBVR 
SPEARING,MYMISTRESSEYESARENOT,ENQIJ BEKKH IYVAN XWCST 
